order_id|product_name|category|quantity|unit_price|discount_percent|region|sale_date|customer_email
ORD38981|TV|home appliance|14|586.248|0.88186437|South|02-14-2023|user1955@mail.com
ORD95716|T.V.|home appliance|5|570.8413|1.0369254|Eest|02-02-2024|user3934@test.org
ORD64059|Fridge|appliance|1|506.32446|0.2812332|West|11-17-2022|
ORD46327|T.V.|elec|-1|218.20944|0.7462019|East|02-10-2025|
ORD58634|Fridge|elec|10|13.557911|0.7826697|suth|2025-07-26|
ORD28110|TV|electronics|-1|34.432114|1.0855814|suth|10-02-2023|user9280@sample.net
ORD96152|Laptop|elec|3|512.51575|0.18257117|Wst|2024-02-13|user7465@example.com
ORD77946|Lap top|appliance|2|723.1454|0.35486978|East|02-02-2024|user9590@sample.net
ORD12577|Television|elec|2|545.5125|0.89864206|West|08-20-2024|user412@sample.net
ORD90879|Lap top|home appliance|-2|115.54593|0.8384884|North||user6015@sample.net
ORD83724|TV|elec|0|119.98695|0.5137558|South||
ORD43261|Lap top|electronics|5|236.0171|0.81841075|North|02-22-2025|user2562@test.org
ORD97014|T.V.|appliance|-2|82.131325|0.48369893|West|2023-07-11|user6135@example.com
ORD72820|Laptop|gadget|4|623.4177|0.2863578|Eest|02-18-2024|user9704@example.com
ORD65276|TV|gadget|-5|693.64764|1.0431962|West|31/07/2024|user5234@example.com
ORD32864|T.V.|gadget|5|569.9125|1.026338|nort|17/05/2025|user9844@example.com
ORD99768|T.V.|electronics|8|926.23206|0.5321623|West||user8817@sample.net
ORD97873|Lap top|electronics|-4|723.5541|0.62536556|North||user5290@test.org
ORD85596|Lap top|gadget|2|216.02362|0.33469063|South|27/06/2025|user5103@sample.net
ORD82493|Refrigerator|appliance|14|343.9884|0.7234379|West|01-03-2024|user255@sample.net
ORD94982|Laptop|electronics|5|507.87634|0.88944775|West|2024-02-19|user9868@mail.com
ORD89450|TV|home appliance|11|532.49445|1.0673357|Wst|2024-11-02|
ORD17364|Lap top|gadget|0|19.866169|1.0226207|North|03/03/2025|user2492@sample.net
ORD95925|Laptop|elec|7|926.18|0.5848455|suth|02/06/2024|user8449@test.org
ORD47617|Laptop|electronics|-4|175.69601|0.28851128|North|2025-06-27|user5477@sample.net
ORD70661|TV|electronics|0|67.819595|0.808841|suth|2024-12-11|user8583@sample.net
ORD10179|Fridge|gadget|6|554.0176|0.14927517|Eest|2024-12-16|user9454@sample.net
ORD95793|Refrigerator|electronics|3|503.93463|1.0418497|South||user1034@test.org
ORD77777|Fridge|electronics|-3|347.71616|1.1766717|South|18/11/2023|user8551@sample.net
ORD64951|Laptop|gadget|5|688.6233|0.57738245|nort|21/11/2022|
ORD92709|Refrigerator|elec|-2|612.8526|0.8553446|North|12-12-2023|user9381@test.org
ORD16648|Television|electronics|-1|702.0|1.0559542|Eest|24/05/2024|
ORD90938|Television|appliance|-4|632.13995|0.23133053|North|05/04/2025|user7163@test.org
ORD94941|Refrigerator|home appliance|-5|929.87915|0.37132704|East|26/07/2025|user4580@sample.net
ORD92602|Laptop|appliance|7|766.9452|0.42417407|East|2024-06-17|user778@example.com
ORD22265|Refrigerator|elec|0|989.9165|0.062191702|Wst|02-11-2025|user9613@mail.com
ORD22610|Laptop|electronics|11|915.1802|0.64563787|Wst|20/05/2023|user7654@example.com
ORD99573|Television|electronics|4|471.0297|0.8603499|suth|2022-11-18|
ORD98714|Refrigerator|gadget|9|644.5389|0.0151843075|South|2023-07-31|user4498@test.org
ORD33416|Laptop|electronics|14|107.17541|0.72965837|West|08-01-2023|
ORD28898|Television|appliance|3|884.3268|0.98152083|West||user2711@sample.net
ORD73742|Refrigerator|elec|7|973.49304|0.9073108|West|2023-12-29|user5314@example.com
ORD99128|Lap top|electronics|-4|340.25543|0.4792531|East|08/05/2025|
ORD67716|Lap top|electronics|4|413.98865|0.017079592|South|2024-12-25|
ORD16815|TV|appliance|2|297.24948|0.13988501|suth|2025-04-30|user3297@mail.com
ORD12743|Lap top|electronics|2|464.5412|0.9122632|Wst|03/09/2023|user5386@sample.net
ORD57078|Refrigerator|appliance|-2|154.77312|0.15256606|North||user121@sample.net
ORD51500|T.V.|appliance|0|276.67856|0.43907514|Eest|2025-07-14|
ORD14600|TV|elec|12|879.0675|1.0659906|South|20/05/2025|user152@test.org
ORD15841|Lap top|electronics|13|341.60425|0.50991166|East|05/05/2025|user270@sample.net
ORD97323|Laptop|electronics|-4|415.87436|0.5092622|East|09-12-2024|
ORD48928|T.V.|electronics|13|135.11163|0.75728875|suth|04/07/2024|user8714@sample.net
ORD87873|Fridge|electronics|3|350.37952|0.20628764|suth|2024-10-14|user4568@sample.net
ORD29348|Lap top|electronics|-5|968.0024|1.1168466|Wst|2023-05-30|user2331@test.org
ORD82011|Lap top|gadget|11|22.983849|0.42602086|North|2023-12-13|
ORD77730|TV|home appliance|5|916.6284|1.0829577|suth||
